date,Open Interest,Dealer Longs,Dealer Shorts,Dealer Spreads,Asset Manager Longs,Asset Manager Shorts,Asset Manager Spreads,Leveraged Funds Longs,Leveraged Funds Shorts,Leveraged Funds Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2020-11-03,11278.0,0.0,661.0,0.0,800.0,0.0,0.0,4379.0,8007.0,101.0,2539.0,2030.0,54.0,7873.0,10853.0,3405.0,425.0
2020-11-10,11311.0,0.0,732.0,0.0,832.0,7.0,33.0,5097.0,7881.0,130.0,2250.0,1803.0,130.0,8472.0,10716.0,2839.0,595.0
2020-11-17,11509.0,0.0,732.0,0.0,845.0,4.0,26.0,5305.0,8097.0,207.0,1933.0,1663.0,83.0,8399.0,10812.0,3110.0,697.0
2020-11-24,12336.0,0.0,643.0,0.0,668.0,0.0,0.0,5441.0,9864.0,408.0,2381.0,300.0,334.0,9232.0,11549.0,3104.0,787.0
2020-12-01,11812.0,28.0,643.0,0.0,626.0,0.0,0.0,4509.0,9375.0,344.0,2442.0,460.0,529.0,8478.0,11351.0,3334.0,461.0
2020-12-08,11750.0,316.0,643.0,0.0,544.0,11.0,19.0,4365.0,9354.0,493.0,2063.0,177.0,547.0,8347.0,11244.0,3403.0,506.0
2020-12-15,11370.0,437.0,618.0,0.0,492.0,26.0,14.0,3946.0,8702.0,625.0,2027.0,84.0,695.0,8236.0,10764.0,3134.0,606.0
2020-12-21,12603.0,525.0,618.0,0.0,573.0,30.0,10.0,4357.0,10320.0,172.0,2418.0,120.0,670.0,8725.0,11940.0,3878.0,663.0
2020-12-29,10653.0,504.0,628.0,0.0,620.0,32.0,8.0,3679.0,8466.0,60.0,2123.0,245.0,494.0,7488.0,9933.0,3165.0,720.0
2021-01-05,11296.0,436.0,663.0,0.0,793.0,32.0,3.0,3544.0,9058.0,129.0,2672.0,261.0,376.0,7953.0,10522.0,3343.0,774.0
2021-01-12,12039.0,324.0,754.0,0.0,733.0,0.0,5.0,4107.0,9602.0,212.0,2522.0,373.0,460.0,8363.0,11406.0,3676.0,633.0
2021-01-19,11945.0,413.0,709.0,0.0,639.0,123.0,10.0,3911.0,9119.0,275.0,2879.0,674.0,289.0,8416.0,11199.0,3529.0,746.0
2021-01-26,10787.0,428.0,605.0,42.0,308.0,225.0,13.0,3605.0,7991.0,453.0,2424.0,364.0,338.0,7611.0,10031.0,3176.0,756.0
2021-02-02,9469.0,422.0,446.0,97.0,308.0,357.0,20.0,3031.0,7224.0,456.0,2008.0,161.0,57.0,6399.0,8818.0,3070.0,651.0
